date,total
01/01/2022,385844
02/01/2022,329064
03/01/2022,495782
04/01/2022,504717
05/01/2022,510551
06/01/2022,508994
07/01/2022,521418
08/01/2022,376690
09/01/2022,339070
10/01/2022,538038
11/01/2022,537971
12/01/2022,537243
13/01/2022,530568
14/01/2022,537857
15/01/2022,367815
16/01/2022,326536
17/01/2022,519202
18/01/2022,320824
19/01/2022,546006
20/01/2022,540496
21/01/2022,550443
22/01/2022,300288
23/01/2022,311335
24/01/2022,535471
25/01/2022,545612
26/01/2022,552076
27/01/2022,543640
28/01/2022,557400
29/01/2022,366275
30/01/2022,331912
31/01/2022,422420
01/02/2022,363738
02/02/2022,312513
03/02/2022,343286
04/02/2022,390825
05/02/2022,305349
06/02/2022,282214
07/02/2022,499364
08/02/2022,493790
09/02/2022,480821
10/02/2022,468716
11/02/2022,477247
12/02/2022,323337
13/02/2022,295050
14/02/2022,474817
15/02/2022,466517
16/02/2022,467963
17/02/2022,456313
18/02/2022,453861
19/02/2022,316728
20/02/2022,278118
21/02/2022,446986
22/02/2022,444919
23/02/2022,445871
24/02/2022,428044
25/02/2022,441187
26/02/2022,318223
27/02/2022,286313
28/02/2022,439931
01/03/2022,442619
02/03/2022,451058
03/03/2022,445777
04/03/2022,442702
05/03/2022,317115
06/03/2022,315778
07/03/2022,470723
08/03/2022,457339
09/03/2022,467073
10/03/2022,462453
11/03/2022,461582
12/03/2022,334037
13/03/2022,315748
14/03/2022,459221
15/03/2022,462385
16/03/2022,468765
17/03/2022,463862
18/03/2022,477756
19/03/2022,357119
20/03/2022,322643
21/03/2022,461783
22/03/2022,462834
23/03/2022,477364
24/03/2022,476268
25/03/2022,503016
26/03/2022,384250
27/03/2022,346932
28/03/2022,487122
29/03/2022,494539
30/03/2022,514899
31/03/2022,525365
01/04/2022,571529
02/04/2022,420221
03/04/2022,280364
04/04/2022,505135
05/04/2022,513889
06/04/2022,527683
07/04/2022,531584
08/04/2022,521379
09/04/2022,346226
10/04/2022,325339
11/04/2022,540268
12/04/2022,546675
13/04/2022,558362
14/04/2022,556605
15/04/2022,575944
16/04/2022,396564
17/04/2022,352685
18/04/2022,538054
19/04/2022,353016
20/04/2022,582116
21/04/2022,587640
22/04/2022,622504
23/04/2022,488826
24/04/2022,433965
25/04/2022,620832
26/04/2022,630059
27/04/2022,644400
28/04/2022,651117
29/04/2022,663786
30/04/2022,468410
01/05/2022,450696
02/05/2022,399042
03/05/2022,462831
04/05/2022,398231
05/05/2022,468444
06/05/2022,471365
07/05/2022,398949
