state,date,sex,age,ethnicity,population
Johor,01/01/2019,both,overall,overall,3761.2
Johor,01/01/2020,both,overall,overall,4009.7
Johor,01/01/2021,both,overall,overall,4020
Johor,01/01/2022,both,overall,overall,4028.3
Johor,01/01/2023,both,overall,overall,4107.2
Johor,01/01/2024,both,overall,overall,4184.4
Johor,01/01/2025,both,overall,overall,4205.9
Kedah,01/01/2019,both,overall,overall,2173.7
Kedah,01/01/2020,both,overall,overall,2131.4
Kedah,01/01/2021,both,overall,overall,2151.7
Kedah,01/01/2022,both,overall,overall,2163.1
Kedah,01/01/2023,both,overall,overall,2189.3
Kedah,01/01/2024,both,overall,overall,2217.1
Kedah,01/01/2025,both,overall,overall,2228
Kelantan,01/01/2019,both,overall,overall,1883.8
Kelantan,01/01/2020,both,overall,overall,1792.5
Kelantan,01/01/2021,both,overall,overall,1812.3
Kelantan,01/01/2022,both,overall,overall,1830.6
Kelantan,01/01/2023,both,overall,overall,1859.8
Kelantan,01/01/2024,both,overall,overall,1887.9
Kelantan,01/01/2025,both,overall,overall,1907.7
Melaka,01/01/2019,both,overall,overall,928.4
Melaka,01/01/2020,both,overall,overall,998.4
Melaka,01/01/2021,both,overall,overall,1004.5
Melaka,01/01/2022,both,overall,overall,1008.6
Melaka,01/01/2023,both,overall,overall,1028.3
Melaka,01/01/2024,both,overall,overall,1046.7
Melaka,01/01/2025,both,overall,overall,1052.5
Negeri Sembilan,01/01/2019,both,overall,overall,1126.2
Negeri Sembilan,01/01/2020,both,overall,overall,1200
Negeri Sembilan,01/01/2021,both,overall,overall,1204.2
Negeri Sembilan,01/01/2022,both,overall,overall,1207.9
Negeri Sembilan,01/01/2023,both,overall,overall,1224.9
Negeri Sembilan,01/01/2024,both,overall,overall,1239.5
Negeri Sembilan,01/01/2025,both,overall,overall,1244.6
Pahang,01/01/2019,both,overall,overall,1671.4
Pahang,01/01/2020,both,overall,overall,1591.3
Pahang,01/01/2021,both,overall,overall,1601.5
Pahang,01/01/2022,both,overall,overall,1614.3
Pahang,01/01/2023,both,overall,overall,1643.2
Pahang,01/01/2024,both,overall,overall,1667.7
Pahang,01/01/2025,both,overall,overall,1678.2
Perak,01/01/2019,both,overall,overall,2508.8
Perak,01/01/2020,both,overall,overall,2496
